gc,gf,gsm,G,Gc,Gf,Gstm
17,23,43,-1.65000130329497,-0.15007570561206,1.21960620918432,1.77015283972371
39,14,26,0.716016744637554,0.691881400671735,-0.422461583276321,0.0483633622344001
41,13,36,0.606847631057953,1.20479870400275,-0.900650697971603,1.1233763149985
29,17,20,0.22257969690297,-0.427937369720005,0.702458182307649,-0.637435278566453
7,20,44,-2.29047446778054,-1.13791084228839,0.475751250009699,1.76218699444496
26,13,20,-0.448222644937667,-0.103647454521642,0.826773143622141,-0.569453996721706
23,34,39,-0.284631597917126,-0.861246927635228,-0.573873631424679,0.707548978083727
23,18,19,-0.581896960941295,-0.464013246096737,1.8813484192477,-0.646529899870402
21,26,55,-0.845132951328786,-0.502240592102748,-0.467819992306871,1.97106823968485
30,29,20,0.208951617435377,-0.188976731735016,-0.722236260599828,-0.612295711735648
36,61,33,0.725868495572894,0.194845416099014,1.54548967744233,0.159863837458657
31,41,26,0.351247926846555,-0.273619307308981,0.690285311910824,-0.170638818530161
38,54,43,0.910862373295858,0.268206738090139,-0.388193065252753,1.26979622688622
14,19,5,-1.28784136265604,-1.23454185019583,0.16149394623143,-1.66665912136106
32,34,49,0.511979514266391,-0.238586633899573,-0.328002545335196,1.0671231228083
33,58,25,0.577159957412435,-0.132379146397175,0.660355688133877,-0.489610734694865
3,23,32,-2.36945162921369,-1.75247029707275,-0.377080588539061,0.38901763161191
19,45,27,-0.887357210426834,-0.73444627729759,-0.381065398073375,-0.349761208230884
23,19,7,-0.887864837826576,-0.0368920871957064,-1.00008776642647,-1.56154232874481
16,26,23,-1.43338943900177,-0.546057472539168,-0.855665270165113,-0.904340287394698
40,35,28,1.33153997740198,0.0874281681919628,0.842676512919859,-0.298666105479226
38,14,19,0.645189579980348,0.583710884222454,0.484597349153574,-0.821436633037329
20,16,44,-1.07956886471726,-0.337267421712388,0.0156638905532944,1.14468958677463
43,38,15,1.25341969665726,0.74524213888378,-0.57199490431742706,-1.06564480024473
